iter	Passed	Remaining
0	31	31569
1	51	25509
2	72	24010
3	88	22061
4	105	21007
5	120	19998
6	137	19441
7	152	18891
8	168	18516
9	183	18156
10	200	17996
11	215	17776
12	230	17530
13	248	17505
14	263	17296
15	279	17182
16	295	17094
17	311	17002
18	327	16918
19	343	16809
20	357	16676
21	372	16538
22	387	16450
23	403	16396
24	417	16279
25	430	16139
26	444	16034
27	460	15977
28	476	15940
29	493	15942
30	507	15877
31	522	15814
32	537	15751
33	553	15719
34	568	15662
35	583	15613
36	597	15546
37	610	15464
38	626	15430
39	639	15359
40	654	15308
41	669	15264
42	683	15221
43	698	15182
44	713	15131
45	727	15085
46	740	15022
47	757	15022
48	773	15007
49	788	14984
50	803	14953
