셀번호,측정시간,장애여부
JNGC1002,2024-04-01T02:36:49.000+09:00,MAJOR
YSWS4-5,2024-04-01T10:34:43.000+09:00,MAJOR
YSSB1-6,2024-04-01T11:13:33.000+09:00,MAJOR
JNBA12,2024-04-01T12:29:40.000+09:00,MAJOR
JNJE4,2024-04-01T14:49:27.000+09:00,MAJOR
JNGC0003-1,2024-04-01T15:01:14.000+09:00,MAJOR
JNNW111,2024-04-01T15:15:15.000+09:00,MAJOR
YSWS0244,2024-04-01T15:22:45.000+09:00,CRITICAL
JNJE36,2024-04-01T16:02:31.000+09:00,MAJOR
JNGJ2,2024-04-01T17:39:38.000+09:00,MAJOR
JNGJ36,2024-04-02T02:02:21.000+09:00,CRITICAL
JNGJ126,2024-04-02T02:10:44.000+09:00,CRITICAL
JNGJ213,2024-04-02T02:16:54.000+09:00,CRITICAL
JNGJ20,2024-04-02T02:29:27.000+09:00,CRITICAL
JNGJ19-1,2024-04-02T02:42:25.000+09:00,CRITICAL
JNGJ215,2024-04-02T02:42:25.000+09:00,CRITICAL
JNGJ19-1,2024-04-02T02:48:19.000+09:00,CRITICAL
JNGJ19,2024-04-02T02:55:49.000+09:00,CRITICAL
JNGJ36,2024-04-02T03:08:13.000+09:00,CRITICAL
JNJE50,2024-04-02T09:34:04.000+09:00,CRITICAL
JNNW29,2024-04-02T10:35:23.000+09:00,MAJOR
JNNW33,2024-04-02T10:36:52.000+09:00,MAJOR
YSWSG3-4B,2024-04-02T10:54:25.000+09:00,MAJOR
JNJE1258,2024-04-02T12:38:10.000+09:00,MAJOR
YSJB5-25,2024-04-02T13:41:30.000+09:00,MAJOR
JNNW29,2024-04-02T15:04:03.000+09:00,MAJOR
JNJE132,2024-04-02T15:27:14.000+09:00,MAJOR
JNBA1,2024-04-02T16:52:45.000+09:00,MAJOR
YSJSC2003,2024-04-03T09:43:02.000+09:00,MAJOR
JNGC0011,2024-04-03T13:34:31.000+09:00,MAJOR
JNGCEOC8,2024-04-03T14:19:33.000+09:00,CRITICAL
JNGC0011,2024-04-03T14:19:33.000+09:00,MAJOR
JNGC0011,2024-04-03T15:23:15.000+09:00,MAJOR
JNGC0011,2024-04-03T15:27:52.000+09:00,MAJOR
JNGC0004-1,2024-04-03T17:47:02.000+09:00,MAJOR
JNGJ1-0,2024-04-03T19:42:37.000+09:00,MAJOR
JNBA2008,2024-04-04T02:04:59.000+09:00,CRITICAL
YSHS0025,2024-04-04T02:07:21.000+09:00,CRITICAL
JNBA2012,2024-04-04T03:19:39.000+09:00,CRITICAL
JNBA3032,2024-04-04T03:19:39.000+09:00,CRITICAL
JNBA2013,2024-04-04T03:19:39.000+09:00,CRITICAL
JNBA22,2024-04-04T03:41:17.000+09:00,CRITICAL
JNBA7,2024-04-04T03:51:29.000+09:00,CRITICAL
JNGJ5-1,2024-04-04T09:08:17.000+09:00,MAJOR
YSWS0287,2024-04-04T09:13:48.000+09:00,CRITICAL
JNBA7,2024-04-04T10:36:19.000+09:00,MAJOR
JNJE8,2024-04-04T14:02:32.000+09:00,CRITICAL
JNBA3,2024-04-04T15:01:27.000+09:00,MAJOR
YSWS0217,2024-04-04T16:00:52.000+09:00,MAJOR
JNNW317,2024-04-05T11:42:30.000+09:00,CRITICAL
JNNW317,2024-04-05T11:48:24.000+09:00,CRITICAL
JNNW9,2024-04-05T12:32:39.000+09:00,MAJOR
YSWSF22-17,2024-04-05T13:46:56.000+09:00,MAJOR
JNGC0013,2024-04-05T13:59:51.000+09:00,MAJOR
JNBA55,2024-04-05T14:13:57.000+09:00,CRITICAL
JNGC1002,2024-04-06T01:11:39.000+09:00,MAJOR
JNGC1002,2024-04-06T02:32:40.000+09:00,MAJOR
JNGC1002,2024-04-06T04:55:38.000+09:00,MAJOR
JNGC1002,2024-04-06T07:23:38.000+09:00,MAJOR
YSWS0297,2024-04-06T16:03:48.000+09:00,CRITICAL
YSHS0015,2024-04-07T08:49:12.000+09:00,MAJOR
YSWS0297,2024-04-07T13:27:27.000+09:00,CRITICAL
YSWS0297,2024-04-07T13:30:50.000+09:00,CRITICAL
JNNW36,2024-04-07T14:07:17.000+09:00,MAJOR
JNBA10,2024-04-07T19:00:02.000+09:00,MAJOR
JNBA10,2024-04-07T19:08:41.000+09:00,MAJOR
JNGC1002,2024-04-08T07:46:13.000+09:00,MAJOR
YSDGHFC0069,2024-04-08T08:41:07.000+09:00,MAJOR
JNNW4-1,2024-04-08T08:43:09.000+09:00,CRITICAL
JNNW4,2024-04-08T08:43:09.000+09:00,MAJOR
JNNW38,2024-04-08T08:43:09.000+09:00,MAJOR
JNJE51,2024-04-08T10:55:42.000+09:00,MAJOR
YSJSC2004,2024-04-08T11:14:37.000+09:00,CRITICAL
JNBA13,2024-04-08T11:35:45.000+09:00,MAJOR
YSWS0154,2024-04-08T12:13:39.000+09:00,MAJOR
YSWS0049,2024-04-08T18:27:49.000+09:00,MAJOR
JNBA10,2024-04-08T20:25:41.000+09:00,MAJOR
JNGC0007-1,2024-04-08T23:23:21.000+09:00,MAJOR
YSJSC3004,2024-04-09T02:03:17.000+09:00,CRITICAL
YSJSC3004,2024-04-09T02:11:50.000+09:00,MAJOR
JNNW125,2024-04-09T10:32:38.000+09:00,CRITICAL
YSJSC2003-1,2024-04-09T12:37:45.000+09:00,MAJOR
JNSC2-3,2024-04-09T14:16:07.000+09:00,MAJOR
JNSC2-3,2024-04-09T14:20:23.000+09:00,MAJOR
JNNW5,2024-04-09T14:57:55.000+09:00,CRITICAL
