index,셀번호,측정시간,장애여부
1,YSWS4-5,2024-04-01T10:34:43.000+09:00,MAJOR
2,YSSB1-6,2024-04-01T11:13:33.000+09:00,MAJOR
7,YSWS0244,2024-04-01T15:22:45.000+09:00,CRITICAL
22,YSWSG3-4B,2024-04-02T10:54:25.000+09:00,MAJOR
24,YSJB5-25,2024-04-02T13:41:30.000+09:00,MAJOR
28,YSJSC2003,2024-04-03T09:43:02.000+09:00,MAJOR
37,YSHS0025,2024-04-04T02:07:21.000+09:00,CRITICAL
44,YSWS0287,2024-04-04T09:13:48.000+09:00,CRITICAL
48,YSWS0217,2024-04-04T16:00:52.000+09:00,MAJOR
52,YSWSF22-17,2024-04-05T13:46:56.000+09:00,MAJOR
59,YSWS0297,2024-04-06T16:03:48.000+09:00,CRITICAL
60,YSHS0015,2024-04-07T08:49:12.000+09:00,MAJOR
61,YSWS0297,2024-04-07T13:27:27.000+09:00,CRITICAL
62,YSWS0297,2024-04-07T13:30:50.000+09:00,CRITICAL
67,YSDGHFC0069,2024-04-08T08:41:07.000+09:00,MAJOR
72,YSJSC2004,2024-04-08T11:14:37.000+09:00,CRITICAL
74,YSWS0154,2024-04-08T12:13:39.000+09:00,MAJOR
75,YSWS0049,2024-04-08T18:27:49.000+09:00,MAJOR
78,YSJSC3004,2024-04-09T02:03:17.000+09:00,CRITICAL
79,YSJSC3004,2024-04-09T02:11:50.000+09:00,MAJOR
81,YSJSC2003-1,2024-04-09T12:37:45.000+09:00,MAJOR
95,YSWS4-6-F1,2024-04-10T01:54:17.000+09:00,CRITICAL
96,YSWS4-6-F1,2024-04-10T10:57:45.000+09:00,CRITICAL
103,YSWS0049,2024-04-11T02:44:26.000+09:00,MAJOR
108,YSYW0030,2024-04-11T10:30:27.000+09:00,MAJOR
113,YSYW0030,2024-04-11T13:51:44.000+09:00,MAJOR
116,YSWS0051,2024-04-11T14:47:42.000+09:00,MAJOR
119,YSYW0063B,2024-04-11T17:02:54.000+09:00,MAJOR
121,YSSB2-7,2024-04-11T17:57:03.000+09:00,MAJOR
122,YSHS0051,2024-04-12T02:01:16.000+09:00,CRITICAL
123,YSHS0062,2024-04-12T02:01:16.000+09:00,CRITICAL
136,YSJBH910,2024-04-13T09:51:38.000+09:00,MAJOR
137,YSJSC2004,2024-04-13T10:15:34.000+09:00,CRITICAL
140,YSJSC2004,2024-04-13T11:44:04.000+09:00,MAJOR
141,YSHS0025,2024-04-13T15:42:38.000+09:00,CRITICAL
142,YSHS0017,2024-04-13T15:44:16.000+09:00,CRITICAL
143,YSHS0024,2024-04-13T15:44:16.000+09:00,CRITICAL
144,YSWS0049,2024-04-13T16:08:00.000+09:00,MAJOR
165,YSJSC2004,2024-04-14T09:49:33.000+09:00,CRITICAL
166,YSJSC2004,2024-04-14T11:07:57.000+09:00,CRITICAL
169,YSDGHFC0054,2024-04-14T14:54:55.000+09:00,CRITICAL
172,YSWS2-7,2024-04-15T07:12:12.000+09:00,MAJOR
173,YSWS2-7,2024-04-15T07:42:49.000+09:00,MAJOR
174,YSWS0278A,2024-04-15T09:00:09.000+09:00,MAJOR
175,YSWS0278A,2024-04-15T09:36:11.000+09:00,MAJOR
179,YSWS0278A,2024-04-15T13:23:19.000+09:00,MAJOR
180,YSWS0278A,2024-04-15T13:31:49.000+09:00,MAJOR
181,YSWS0278A,2024-04-15T14:09:11.000+09:00,MAJOR
183,YSWS10-8,2024-04-15T14:12:24.000+09:00,MAJOR
185,YSWS0278A,2024-04-15T14:15:50.000+09:00,MAJOR
193,YSWS2-5,2024-04-16T09:00:35.000+09:00,MAJOR
194,YSWS2-5,2024-04-16T09:09:12.000+09:00,MAJOR
195,YSWS2-5,2024-04-16T09:18:16.000+09:00,MAJOR
196,YSWS2-5,2024-04-16T09:26:44.000+09:00,MAJOR
197,YSWS2-5,2024-04-16T09:35:03.000+09:00,MAJOR
198,YSWS2-5,2024-04-16T09:43:21.000+09:00,MAJOR
199,YSWS2-5,2024-04-16T09:52:06.000+09:00,MAJOR
200,YSWS2-5,2024-04-16T10:00:34.000+09:00,MAJOR
203,YSWS2-5,2024-04-16T10:08:58.000+09:00,MAJOR
204,YSWS2-5,2024-04-16T10:21:01.000+09:00,MAJOR
205,YSWS0278A,2024-04-16T11:03:50.000+09:00,MAJOR
206,YSMMH6003,2024-04-16T11:55:41.000+09:00,MAJOR
207,YSWS0278A,2024-04-16T12:28:10.000+09:00,MAJOR
209,YSWS0278A,2024-04-16T12:52:05.000+09:00,MAJOR
210,YSWS0278A,2024-04-16T12:59:04.000+09:00,MAJOR
217,YSYW0047,2024-04-16T17:56:35.000+09:00,CRITICAL
218,YSYW0047,2024-04-16T18:08:57.000+09:00,CRITICAL
220,YSJBH910,2024-04-17T00:02:41.000+09:00,MAJOR
223,YSJBH910,2024-04-17T01:27:59.000+09:00,MAJOR
226,YSJBH910,2024-04-17T02:06:30.000+09:00,MAJOR
227,YSJBH910,2024-04-17T02:15:22.000+09:00,MAJOR
228,YSJBH910,2024-04-17T02:25:40.000+09:00,MAJOR
236,YSWS0296,2024-04-17T10:02:58.000+09:00,CRITICAL
237,YSWS2-13,2024-04-17T10:04:41.000+09:00,CRITICAL
244,YSYW0069,2024-04-17T13:25:48.000+09:00,MAJOR
245,YSWS0265,2024-04-17T13:52:38.000+09:00,MAJOR
248,YSDG10-1,2024-04-17T18:16:20.000+09:00,CRITICAL
249,YSDG10-1,2024-04-17T23:44:30.000+09:00,CRITICAL
251,YSHS0058,2024-04-18T01:22:37.000+09:00,MAJOR
252,YSHS0013,2024-04-18T01:43:20.000+09:00,MAJOR
253,YSHS0017,2024-04-18T01:55:15.000+09:00,CRITICAL
254,YSHS0069-1,2024-04-18T02:03:52.000+09:00,CRITICAL
255,YSHS0092,2024-04-18T02:19:22.000+09:00,CRITICAL
256,YSHS0039,2024-04-18T02:24:19.000+09:00,MAJOR
257,YSHS0043,2024-04-18T02:24:19.000+09:00,MAJOR
258,YSHS0038,2024-04-18T02:24:19.000+09:00,MAJOR
260,YSHS0062,2024-04-18T02:26:14.000+09:00,CRITICAL
261,YSHS0074,2024-04-18T02:26:14.000+09:00,CRITICAL
262,YSHS0055,2024-04-18T02:26:14.000+09:00,CRITICAL
263,YSHS0037,2024-04-18T02:26:14.000+09:00,MAJOR
264,YSHS0036,2024-04-18T02:26:14.000+09:00,MAJOR
265,YSHS0065,2024-04-18T02:27:51.000+09:00,MAJOR
266,YSHSHFC0007,2024-04-18T02:29:28.000+09:00,MAJOR
267,YSHS0053,2024-04-18T02:32:46.000+09:00,CRITICAL
268,YSHS0075,2024-04-18T02:32:46.000+09:00,MAJOR
269,YSHS0035,2024-04-18T02:34:26.000+09:00,MAJOR
270,YSHS0083,2024-04-18T02:34:26.000+09:00,MAJOR
271,YSHS0069-2,2024-04-18T02:38:06.000+09:00,CRITICAL
272,YSHS0052,2024-04-18T02:45:07.000+09:00,MAJOR
273,YSHS0074,2024-04-18T02:50:28.000+09:00,CRITICAL
274,YSHS0011,2024-04-18T02:52:04.000+09:00,CRITICAL
275,YSHS0013,2024-04-18T02:52:04.000+09:00,CRITICAL
276,YSHS0015,2024-04-18T02:52:04.000+09:00,CRITICAL
277,YSHS0055,2024-04-18T02:52:04.000+09:00,CRITICAL
278,YSHSHFC0009,2024-04-18T02:52:04.000+09:00,MAJOR
279,YSHS0079,2024-04-18T02:53:47.000+09:00,MAJOR
280,YSHSHFC0007-2,2024-04-18T02:53:47.000+09:00,MAJOR
281,YSHS0017,2024-04-18T02:56:05.000+09:00,CRITICAL
282,YSHS0024,2024-04-18T02:56:05.000+09:00,CRITICAL
283,YSHS0014,2024-04-18T02:57:53.000+09:00,MAJOR
284,YSHSHFC0008,2024-04-18T02:57:53.000+09:00,MAJOR
285,YSHSH5005,2024-04-18T03:04:13.000+09:00,CRITICAL
286,YSHS0074,2024-04-18T03:09:49.000+09:00,CRITICAL
287,YSHS0062,2024-04-18T03:11:46.000+09:00,CRITICAL
288,YSHS0055,2024-04-18T03:11:46.000+09:00,MAJOR
289,YSHS0042,2024-04-18T03:38:09.000+09:00,MAJOR
290,YSHS0017,2024-04-18T03:45:05.000+09:00,CRITICAL
291,YSHS0024,2024-04-18T03:45:05.000+09:00,CRITICAL
292,YSHS0062,2024-04-18T04:00:37.000+09:00,CRITICAL
293,YSHS0025,2024-04-18T04:12:44.000+09:00,CRITICAL
294,YSHS0055,2024-04-18T04:19:47.000+09:00,CRITICAL
295,YSHS0074,2024-04-18T04:55:50.000+09:00,CRITICAL
296,YSHS0054,2024-04-18T04:57:26.000+09:00,MAJOR
297,YSHS0047,2024-04-18T04:57:26.000+09:00,MAJOR
298,YSHS0046,2024-04-18T05:34:13.000+09:00,CRITICAL
